Segment_ID,State,County,Road_Type,Functional_Class,AADT,Truck_Percent,Speed_Limit,Lane_Count,Shoulder_Width_ft,Pavement_Type,Pavement_Age_yrs,Roughness_IRI,Rutting_mm,Faulting_mm,Cracking_Percent,Structural_Capacity,Surface_Distress_Index,Maintenance_History,Last_Maintenance_Year,Climate_Zone,Precipitation_mm,Freezing_Days,PCI,Rehabilitation_Cost_USD,Years_Since_Last_Rehab
146,OH,Cuyahoga,Rural,Local,68821,16.48,55,1,2,Asphalt,39,184.14,14.31,7.27,54.54,3.45,87.13,Patch,2009,Continental,1946.69,106,6.94,166083.16,16
147,TX,Duval,Interstate,Minor Arterial,38991,13.31,35,5,8,Asphalt,44,119.55,15.76,3.78,5.12,4.15,82.75,None,2003,Tropical,1652.94,59,5.27,455499.13,22
148,TX,Orange,Interstate,Principal Arterial,80057,21.95,70,2,6,Composite,3,65.4,14.08,0.08,74.55,2.02,36.01,Resurface,2003,Cold,849.27,60,29.29,465331.81,22
149,WA,Cook,State Highway,Collector,7971,23.04,25,5,6,Asphalt,8,90.62,11.79,0.09,50.53,4.05,60.01,None,2015,Cold,1067.43,35,29.58,1467060.46,10
150,GA,King,Urban,Principal Arterial,30139,22.55,35,5,2,Composite,40,273.76,9,4.61,64.77,3.75,15.63,Patch,2018,Temperate,725.54,84,11.76,836971.31,7
151,TX,Fulton,Interstate,Principal Arterial,86445,24.49,65,1,10,Asphalt,21,221.51,17.17,4.88,50.26,2.29,53.55,None,2016,Tropical,1275.04,26,40.48,208092.08,9
152,TX,Fulton,Urban,Minor Arterial,78067,5.55,35,4,2,Concrete,17,112.48,19.14,0.23,49.18,3.18,23.04,Patch,2014,Continental,1491.16,40,28.4,630975.52,11
153,WA,Harris,Interstate,Local,81257,21.8,55,5,6,Concrete,11,66.4,9.98,6.87,17.18,1.59,74.37,Reconstruction,2005,Tropical,1005.26,27,2.61,423067.32,20
154,TX,Orange,Interstate,Principal Arterial,85742,20.04,25,5,11,Asphalt,41,222.65,18.63,2.94,27.87,2.81,52.81,Patch,2023,Tropical,1772.47,15,88.57,1463194.11,2
155,NY,Bexar,Rural,Collector,38711,9.57,55,4,10,Concrete,42,193.1,11.67,5.6,15.89,4.52,41.12,Resurface,2005,Temperate,1130.65,34,88.6,329578.66,20
156,CA,King,Rural,Collector,7530,24.13,25,1,5,Composite,38,151.13,10.77,3.01,19.57,2.68,26.88,Patch,2022,Cold,459.66,35,20.92,77906.7,3
157,OH,Orange,Rural,Local,12116,7.96,70,4,9,Asphalt,8,140.9,9.09,1.67,97.3,4.36,99.87,Resurface,1992,Tropical,1320.12,55,16.29,659172.94,33
158,CA,King,Urban,Collector,66794,18.59,65,1,7,Composite,5,104.2,4.19,4.07,15.31,3.36,7.17,Resurface,2012,Tropical,1032.02,98,54.73,214721.82,13
159,WA,Harris,State Highway,Local,1282,9.5,25,2,4,Asphalt,18,217.4,0.07,2.32,26.93,1.77,4.36,None,2000,Tropical,1884.21,108,63.08,277461.64,25
160,FL,Harris,Interstate,Collector,80473,13.63,25,1,5,Concrete,47,292.67,4.83,5.35,59.06,3.32,21.73,Resurface,2007,Arid,905.41,18,95.75,98129.26,18
161,OH,Bexar,Interstate,Minor Arterial,2898,19.38,25,2,3,Composite,46,93.93,10.19,1.99,61.02,3.02,97.11,Patch,2018,Tropical,925.16,56,37.73,509481.68,7
162,WA,Fulton,Interstate,Principal Arterial,5135,16.27,35,2,2,Concrete,6,199.28,7.6,5.08,15.4,2.59,97.92,Reconstruction,1994,Tropical,1371.39,84,61.82,281551.66,31
163,GA,Orange,Urban,Minor Arterial,7629,13.55,70,1,9,Concrete,15,156.05,8.97,1.57,79.37,1.48,65.49,Patch,2013,Continental,1148.58,32,87.82,98580.24,12
164,FL,Cuyahoga,Rural,Principal Arterial,86120,11.53,35,3,2,Asphalt,4,161.67,19.61,6.71,78.52,2.67,88.01,Reconstruction,2018,Arid,874.01,22,45,423813.66,7
165,CA,Fulton,State Highway,Principal Arterial,66031,21.79,65,1,2,Composite,15,113.54,7.01,7.54,23.73,1.29,21.4,Resurface,2018,Tropical,1981.59,118,12.23,103638.55,7
166,WA,Orange,Urban,Principal Arterial,34380,7.88,25,5,5,Concrete,0,256.28,9.04,1.1,28.87,1.4,97.2,None,2015,Tropical,743.93,62,37.74,899309.67,10
167,GA,Fulton,Rural,Minor Arterial,18071,13.6,70,5,11,Asphalt,36,171.31,2.67,4.68,93.8,2.66,14.28,Resurface,1992,Temperate,699.55,69,13.66,1085361.73,33
168,OH,Cuyahoga,Urban,Principal Arterial,21074,23.08,70,3,11,Asphalt,38,185.85,0.96,0.71,82.57,2.22,10.11,Resurface,1991,Temperate,1755.97,95,1.66,749668.03,34
169,OH,Cook,State Highway,Minor Arterial,68843,21.92,45,2,7,Asphalt,18,126.19,15.51,5.98,69.78,4.7,11.22,Reconstruction,2014,Arid,206.07,21,75.16,213781.02,11
170,IL,Cook,Rural,Local,40901,13.02,65,3,10,Concrete,36,95.45,11.41,2.64,8.22,2.5,57.31,Patch,2008,Continental,562.26,66,23.84,275215.5,17
171,GA,Bexar,Urban,Collector,12205,20.26,70,5,2,Asphalt,16,71.48,15.21,5.28,41.83,4.03,78.1,None,1991,Arid,1262.8,98,0.2,274504.28,34
172,NY,Cook,State Highway,Collector,56661,21.46,25,3,8,Composite,25,228.53,3,5.17,55.93,3.12,36.67,None,2008,Arid,492.41,79,87.24,321065.83,17
173,TX,Cook,Interstate,Principal Arterial,6906,22.78,25,1,11,Composite,21,99.06,11.44,9.24,18.74,3.82,97.79,None,1990,Temperate,1974.45,105,44.38,55976.34,35
174,FL,Duval,State Highway,Minor Arterial,3591,15.89,70,3,6,Concrete,7,222.52,5.07,5.49,44.82,2.04,43.44,None,2016,Temperate,1035.55,58,23.89,409105.65,9
175,GA,King,Interstate,Collector,63987,9.09,35,2,9,Composite,32,147.59,4.56,5.83,60.1,4.77,15.04,Patch,2024,Continental,1275.26,24,26.28,172846.54,1
176,IL,Duval,Urban,Minor Arterial,64370,10.11,65,1,8,Asphalt,1,153.94,0.23,4.02,32.74,3.12,46.6,None,1994,Tropical,488.67,16,24.05,194973.9,31
177,TX,Duval,Rural,Minor Arterial,81685,10.91,25,4,5,Concrete,29,167.29,2.61,9.49,78.09,4.33,67.9,Reconstruction,1993,Continental,720.88,38,19.46,583726.76,32
178,TX,Bexar,Rural,Principal Arterial,55400,16.88,70,5,5,Asphalt,46,141.93,6.19,7.77,84.04,2.46,83.22,Reconstruction,2006,Tropical,1306.32,76,84.12,366981.68,19
179,WA,Duval,Urban,Collector,26150,5.66,25,5,7,Concrete,19,75.15,2.34,2.85,32.36,1.4,45.88,None,2010,Cold,1189.2,91,17.03,749833.08,15
180,TX,Cook,Rural,Principal Arterial,32852,17.72,70,3,7,Concrete,17,127.41,19.72,8.44,83.87,3.69,59.36,None,2020,Temperate,1611.86,74,56.19,307011.09,5
181,NY,Cuyahoga,Rural,Principal Arterial,43870,12.29,65,1,10,Asphalt,42,215.93,6.17,4.32,10.36,1.03,26.73,Patch,2011,Cold,684.62,73,7.73,220044.34,14
182,OH,Bexar,Interstate,Collector,53756,10.9,70,4,6,Composite,9,216.45,2.61,8.29,83.77,2.9,64.59,Patch,2000,Cold,1376.38,38,94.95,564436.24,25
183,IL,Bexar,Urban,Collector,57481,22.59,45,1,9,Composite,23,121.56,3.98,8.23,15.28,1.77,98.6,None,2023,Temperate,723.76,23,60.33,86757.5,2
184,TX,Harris,State Highway,Local,2283,14.2,70,5,6,Concrete,3,165.03,11.75,1.89,8.29,3.51,4.91,Patch,2004,Cold,1256.15,37,90.32,687002.17,21
185,WA,Bexar,Interstate,Local,34691,6.9,70,1,3,Asphalt,36,98.36,1.28,7.01,64.18,4.92,88.65,Resurface,1999,Arid,1289.06,87,39.79,106094.58,26
186,NY,Harris,Urban,Minor Arterial,2125,21.53,65,4,7,Asphalt,3,102.59,17.25,2.91,47.19,2.86,56.23,None,2021,Tropical,419.31,96,81.07,995779,4
187,CA,Bexar,Interstate,Collector,68065,5.95,70,3,10,Concrete,12,55.76,19.23,2.97,90.79,4.27,25.21,Patch,2020,Continental,1187.54,80,85.37,887525.67,5
188,OH,King,State Highway,Local,27170,19.53,65,2,4,Composite,24,274.19,4.93,2.96,36.32,3.03,95.49,Reconstruction,2017,Temperate,221.49,56,70.29,112745.69,8
189,OH,Cook,State Highway,Minor Arterial,9438,20.48,45,1,2,Asphalt,12,102.68,9,7.26,28.72,2.98,48.34,None,2020,Arid,1102.18,43,9.29,222505.03,5
190,IL,Bexar,Urban,Minor Arterial,21095,12.05,65,2,2,Composite,17,106.88,0.44,2.3,50.07,4.72,33.17,None,1995,Continental,1455.54,35,1.61,231978.92,30
191,OH,Cook,State Highway,Minor Arterial,17154,21.5,25,5,4,Composite,23,119.9,12.81,0.01,45.59,4.56,18.15,Reconstruction,2003,Continental,331.1,98,16.86,333010.8,22
192,TX,Cook,Interstate,Local,9004,15.31,65,3,11,Concrete,1,81.85,8.28,7.15,34.44,4.14,24.45,Reconstruction,2012,Continental,1889.68,69,11.81,160763.48,13
193,WA,Fulton,State Highway,Collector,10752,14.27,45,3,6,Concrete,47,209.82,5.4,1.71,69.37,2.19,83.28,Patch,2005,Cold,1025.76,79,72.51,810757.25,20
194,OH,Bexar,Interstate,Principal Arterial,56426,5.91,55,1,4,Composite,32,68.79,4.14,1.04,75.96,3.18,61.44,Reconstruction,2014,Cold,1889.15,44,55.7,138401.63,11
195,OH,Orange,Interstate,Minor Arterial,27819,10.8,70,3,10,Asphalt,18,83.55,13.08,2.38,85.3,1.9,91.32,Resurface,1991,Cold,393.32,91,52.6,895907.92,34
196,CA,Fulton,State Highway,Local,25217,23.62,65,1,9,Asphalt,8,211.19,8.32,3.8,97.29,2.78,23.2,None,2023,Cold,1909.82,104,25.29,160594.29,2
197,CA,Orange,Urban,Local,89708,12.84,70,1,4,Concrete,27,134.92,3.59,4.76,26.67,2.94,12.11,Resurface,2014,Arid,396.55,95,15.46,96899.44,11
198,FL,Cook,Rural,Principal Arterial,33994,15.93,35,2,10,Composite,34,226.99,13.78,0.45,71.61,4.33,0.61,Patch,2005,Cold,1030.69,25,20.65,488571.78,20
199,NY,Cook,State Highway,Principal Arterial,16036,15.64,25,3,7,Asphalt,38,189.36,11.3,9.71,39.43,4.58,50.79,Reconstruction,2007,Temperate,1888.39,10,40.03,844869.16,18
200,TX,Fulton,Interstate,Local,78275,16.81,25,1,8,Asphalt,9,114.01,17.17,7.16,67.71,2.66,99.83,None,2002,Continental,618.87,51,74.01,253905.26,23
201,OH,Fulton,Interstate,Collector,50416,6.23,35,2,5,Concrete,0,212.71,2.35,3.23,47.6,1.07,69.5,Reconstruction,2016,Arid,262.61,24,25.45,472599.62,9
202,GA,Orange,State Highway,Principal Arterial,10587,12.24,35,4,5,Composite,41,79.07,15.71,3.19,99.38,4.45,30.84,Reconstruction,2023,Cold,1627.6,30,69.86,534699.69,2
203,OH,Harris,Urban,Local,1645,19.46,65,2,3,Asphalt,20,184.1,13.47,4.49,72.89,1.7,87.69,Patch,2000,Continental,1272.59,84,49.15,132245.18,25
204,WA,Orange,Urban,Principal Arterial,31930,9.01,35,2,6,Concrete,8,159.29,2.3,6.26,95.25,3.49,78.17,Patch,1990,Arid,1125.06,44,88.54,200649.67,35
205,FL,Fulton,Interstate,Collector,82835,9.07,55,1,9,Asphalt,46,116.97,13.9,1.46,83.5,1.1,1.54,Patch,2002,Continental,261.82,118,23.29,161702.56,23
206,NY,Cuyahoga,Interstate,Minor Arterial,31090,5.2,70,5,8,Asphalt,14,201,8.83,1.89,90.29,2.6,81.69,Patch,2019,Arid,1375.82,114,45.09,1445249.84,6
207,GA,Fulton,Urban,Principal Arterial,88489,13.75,70,5,8,Asphalt,34,267.83,18.9,8.59,81.44,4.94,30.05,None,1994,Tropical,508.92,66,9.67,1153567.72,31
208,FL,Cuyahoga,Rural,Collector,53142,22.65,45,5,7,Concrete,4,299.73,2.83,2.56,45.92,1.4,14.97,Resurface,2007,Arid,1876.15,75,33.52,1285353.81,18
209,IL,King,State Highway,Local,27475,6.04,35,2,4,Composite,40,201.94,12.86,3.8,25.18,2.69,22.63,Resurface,2003,Cold,1434.31,114,50.69,238646.95,22
210,NY,Fulton,Interstate,Principal Arterial,19888,8.82,35,1,6,Concrete,21,151.18,7.64,8.71,37.03,2.23,46.86,None,2002,Continental,1472.66,39,73.27,220955.76,23
211,OH,King,Interstate,Principal Arterial,44732,11.2,55,3,2,Composite,40,106.3,19.14,6.63,2.02,4.62,42.49,Reconstruction,2021,Continental,618.64,45,19.81,796828.61,4
212,OH,Harris,Urban,Local,82623,19.63,25,2,8,Asphalt,22,114.27,6.6,3.42,52.4,4.48,28.89,None,1996,Continental,1785.36,53,21.81,339705.76,29
213,NY,Orange,State Highway,Minor Arterial,47305,17.81,25,2,10,Composite,6,169.86,19.24,6.84,50.51,1.95,17.22,Resurface,1997,Temperate,1167.92,40,63.16,314945.93,28
214,OH,Cuyahoga,Urban,Local,47037,13.32,70,1,2,Asphalt,22,141.82,18.03,0.2,52.53,1.32,76.22,Resurface,1996,Temperate,1742.75,88,38.25,229851.13,29
215,TX,Orange,State Highway,Principal Arterial,10346,20.18,70,4,3,Asphalt,43,278.45,5.41,7.36,97.4,3.51,99.01,None,2005,Cold,687.71,119,48.21,759911.69,20
216,NY,King,State Highway,Local,1587,17.19,65,2,4,Concrete,24,142.07,16.07,4.87,91.15,2.35,77.78,Patch,2020,Tropical,1559.83,80,83.61,596585.54,5
217,FL,Cuyahoga,State Highway,Collector,13763,22.92,55,4,4,Asphalt,26,143.36,19.91,8.13,16.17,3.69,29.59,Reconstruction,2016,Temperate,1234.22,37,49.91,625102.8,9
218,NY,Orange,Interstate,Local,60165,21.36,45,4,9,Concrete,40,145.88,5.05,9.55,36.89,1.13,24.48,None,2022,Arid,287.15,99,65.25,375943.28,3
219,GA,Fulton,Rural,Principal Arterial,70615,10.06,45,5,8,Composite,5,259.16,8.74,9.26,42.4,1.53,21.77,Resurface,2018,Cold,929.62,35,65.68,839918.82,7
220,OH,Cook,Urban,Local,37116,10.43,55,1,7,Composite,33,212.7,10.4,9.09,36.05,3.75,13.67,Patch,1997,Tropical,531.04,82,80.36,108801.25,28
221,TX,King,Rural,Minor Arterial,86751,7.51,45,4,11,Asphalt,8,203.54,5.9,5.12,79.85,1.85,55.13,Reconstruction,2022,Arid,846.51,43,63.81,761253.82,3
222,TX,Orange,Urban,Local,26556,11.74,25,1,11,Concrete,48,133.54,0.31,3.6,52.4,4.43,60.54,Resurface,2008,Continental,890.03,56,6.48,81449.25,17
223,IL,King,State Highway,Minor Arterial,60042,24.99,45,5,5,Asphalt,32,254.48,4.4,4.65,57.21,1.23,70.55,Reconstruction,2010,Temperate,1054.87,65,34.22,1437470.34,15
224,FL,Duval,Interstate,Collector,19099,13.12,45,1,10,Concrete,5,59.59,5.64,6.9,85.3,1.86,68.02,Patch,2010,Arid,1280.52,80,98.93,264955.72,15
225,CA,King,Rural,Minor Arterial,46096,9.41,55,2,2,Concrete,36,267.7,8.87,8.84,80.59,4.99,29.23,Resurface,2014,Tropical,1227.76,29,19.65,177782.7,11
226,CA,Cuyahoga,Interstate,Local,72986,20.25,55,4,3,Concrete,30,178.19,3.42,2.07,13.22,2.73,33.03,Patch,2012,Cold,270.18,110,58.67,372392.92,13
227,NY,Duval,Urban,Principal Arterial,14230,15.85,45,1,5,Composite,33,149.56,17.47,9.18,71.39,3.81,68.15,None,2000,Arid,1551.24,9,84.29,178109.67,25
228,IL,Bexar,Interstate,Minor Arterial,30009,7.99,35,3,4,Concrete,40,174.29,14.1,8.15,43.54,1.73,34.94,None,2022,Cold,1908.53,98,58.66,729661.04,3
229,WA,Cuyahoga,Interstate,Collector,71969,12.61,55,1,2,Composite,28,216.85,1.7,9.79,29.46,3.44,21.26,Reconstruction,2009,Continental,827.63,60,37.23,104769.83,16
230,NY,Cook,Rural,Minor Arterial,34866,13.29,65,4,6,Concrete,13,53.19,13,8.8,5,3.9,37.43,Patch,2014,Tropical,523.54,62,8.02,260971.72,11
231,IL,Duval,State Highway,Minor Arterial,85246,20.08,65,5,8,Composite,35,267.89,13.07,2.8,48.72,2.26,27.21,Patch,2015,Tropical,1172,115,36.17,931917.85,10
232,FL,Bexar,Interstate,Minor Arterial,77975,5.41,25,5,3,Composite,35,161.68,19.12,1.06,35.54,4.32,8.83,Reconstruction,2001,Temperate,1468.84,35,18.21,1114496.39,24
233,FL,Fulton,State Highway,Collector,42855,10.38,45,4,6,Composite,14,135.74,0.06,1.12,25.15,3.41,83.01,Reconstruction,2021,Tropical,1422.03,53,96.09,444365.49,4
234,FL,King,Urban,Local,82557,15.35,35,2,7,Asphalt,7,84.56,4.96,2.91,69.47,2.56,85.31,Reconstruction,2022,Arid,1301.8,96,71.5,469883.89,3
235,FL,Orange,Interstate,Minor Arterial,7416,10.38,25,2,8,Concrete,25,159.87,18.56,6.14,76.95,3.23,21.98,None,1999,Arid,463.22,64,74.94,575321.89,26
236,FL,Harris,Rural,Minor Arterial,73516,17.57,45,5,2,Asphalt,35,174.08,18.64,8.04,24.48,3.31,6.48,Reconstruction,1993,Arid,1706.28,81,43.6,421343.05,32
237,IL,King,Urban,Principal Arterial,56915,14.64,55,5,8,Concrete,47,150.91,14.41,8.99,4.94,1.66,73.88,None,2004,Continental,966.12,3,11,888786.33,21
238,IL,Bexar,Urban,Collector,19058,12.23,65,4,5,Concrete,20,219.67,15.32,6.24,84.88,2.61,21.15,Reconstruction,1995,Tropical,598.64,54,26.67,256841.95,30
239,TX,King,Rural,Minor Arterial,77637,23.98,70,2,9,Asphalt,27,155.22,1.83,0.06,1,2.37,39.34,Patch,2016,Tropical,355.28,53,25.97,203330.5,9
240,GA,Cook,Interstate,Collector,41718,17.64,35,5,5,Composite,3,290.35,10.28,1.86,93.71,2.6,6.41,Patch,1994,Arid,950.09,110,48.68,362274.19,31
241,CA,Fulton,Interstate,Minor Arterial,33602,7.6,70,2,7,Concrete,15,199.82,4.63,1,62.76,4.04,22.63,Reconstruction,1994,Temperate,1312.35,90,46.1,302003.31,31
242,OH,Harris,Urban,Local,75658,16.2,65,5,10,Composite,21,251.87,3.62,3.63,32.18,2.93,79.29,Reconstruction,2007,Temperate,1397.68,88,43.34,1276039.74,18
243,FL,Duval,Interstate,Local,79112,20.61,70,1,6,Asphalt,11,77.34,16.21,5.01,24.65,4.76,80.44,None,2017,Tropical,1932.93,63,49.6,194282.61,8
244,WA,Duval,State Highway,Minor Arterial,59067,19.17,55,3,5,Composite,15,149.32,2.7,0.43,0.9,2.17,20.71,Resurface,2024,Tropical,475.67,118,98.7,316938.63,1
245,OH,Duval,Rural,Local,28516,8.44,45,1,9,Concrete,39,134.21,9.37,3.48,23.55,2.66,33.59,None,2011,Cold,1974.39,91,29.84,60027.66,14
246,IL,Bexar,State Highway,Minor Arterial,88969,24.45,55,5,10,Concrete,37,192.37,18.77,1.79,13.77,4.15,13.42,Patch,2023,Tropical,1378.42,116,61.53,941747.74,2
247,WA,Cuyahoga,Interstate,Local,2089,13.98,70,3,5,Concrete,41,265.28,3.72,6.47,61.22,3.18,7.42,Reconstruction,1993,Arid,1017.61,21,23.95,249597.54,32
248,WA,Cuyahoga,Urban,Principal Arterial,38346,8.18,55,3,4,Asphalt,36,69.58,19.56,4.64,16.65,3.19,99.22,Patch,2007,Continental,1798.75,105,46.66,407050.52,18
249,WA,Orange,Rural,Principal Arterial,75663,8.6,65,5,9,Concrete,28,68.14,19.89,4.95,52.86,1.21,65.56,Resurface,2015,Tropical,1450.06,24,20,887740.32,10
250,TX,Harris,Interstate,Principal Arterial,11487,6.96,35,5,6,Asphalt,17,262.58,11.11,4.28,59.01,2.59,54.21,None,2011,Tropical,827.69,80,55.82,1379665.67,14
251,IL,Duval,Interstate,Collector,1155,21.07,55,2,3,Composite,9,103.21,3.4,9.56,29.8,2.08,76.55,Patch,2022,Arid,1791.35,58,26.5,140911.66,3
252,WA,Cuyahoga,Urban,Collector,68494,7.44,65,5,11,Concrete,41,217.19,6.32,2.15,3.51,5,84.01,None,2003,Cold,1399.91,56,3.68,1085759.49,22
253,FL,Bexar,Urban,Principal Arterial,77229,7.5,35,4,10,Concrete,38,185.72,8.49,5.17,3.73,2.23,80.67,Reconstruction,2020,Tropical,1457.91,53,81.53,214081.29,5
254,NY,Orange,State Highway,Collector,39547,22.01,45,5,4,Concrete,17,258.22,6.19,7.36,2.63,4.54,1.65,Patch,1999,Temperate,1813.5,43,12.83,1037385.69,26
255,WA,Fulton,Rural,Local,29795,11.89,70,4,3,Composite,0,81.27,5.61,5.57,73.91,3.7,18.68,Resurface,2013,Temperate,1007.15,51,36.8,751532.49,12
256,TX,Orange,Rural,Minor Arterial,56296,5.62,45,5,2,Concrete,38,82.45,19.44,9.29,31.8,2.36,65.49,None,2010,Temperate,1382.43,75,47.72,1264833.28,15
257,OH,Cuyahoga,Urban,Minor Arterial,22447,6.04,25,2,9,Asphalt,20,189.2,3.07,3.78,79.63,3.17,37.58,None,1997,Continental,1540.44,15,43.25,365831.24,28
258,IL,Cook,State Highway,Minor Arterial,37598,7.84,65,4,4,Composite,0,286.59,14.67,4.64,43.17,4.36,98.25,Resurface,2021,Continental,1017.09,100,72.57,552616.6,4
259,GA,Bexar,Rural,Principal Arterial,42814,9.27,35,1,8,Composite,14,153.75,0.01,0.89,45.3,4.53,66.54,Patch,2020,Tropical,350.21,15,59.68,110687.72,5
260,TX,Cook,Urban,Collector,76330,18.3,55,4,2,Composite,3,131.74,11.92,6.09,51.29,1.64,95.65,Patch,2023,Tropical,1588.59,80,29.54,285249.74,2
261,WA,Duval,Interstate,Local,88960,8.15,45,2,2,Composite,19,201.67,18.32,2.88,71.3,2.36,20.14,None,2012,Tropical,286.07,54,5.17,367306.34,13
262,IL,Cook,Rural,Local,64278,7.38,35,4,10,Composite,9,282.61,5.76,1.6,27.35,2.34,86.4,Resurface,2014,Continental,1492.25,60,76.76,1088321.93,11
263,NY,Duval,State Highway,Principal Arterial,56077,20.29,65,5,9,Asphalt,22,259.23,3.71,5.45,12.16,1.17,32.14,None,1996,Tropical,1839.58,94,35.25,893430.62,29
264,WA,Duval,State Highway,Local,72906,18.42,25,5,4,Composite,40,298.87,13.03,5.32,55.61,3.39,98.96,None,2008,Arid,824.54,78,88.97,1173878.57,17
265,TX,Cuyahoga,State Highway,Local,10528,13.71,45,2,7,Concrete,33,55.64,14.25,0.76,32.7,4.42,15.77,Reconstruction,1996,Cold,383.71,76,39.51,249217.47,29
266,CA,Cook,Interstate,Local,51100,15.99,70,3,4,Composite,45,78.21,13.76,6.98,44.25,2.53,51.63,Patch,1997,Temperate,619.16,39,71.77,486098.14,28
267,FL,Duval,Rural,Local,9179,11.24,35,5,5,Composite,47,202.37,6.39,6.24,64.69,3.96,79.28,Patch,2003,Temperate,1212.11,90,93.96,655754,22
268,GA,Harris,Rural,Collector,49781,14.65,70,1,2,Composite,32,255.14,5.04,1.89,49.41,3.51,43.26,Reconstruction,1990,Arid,1896.79,20,65.12,77316.53,35
269,OH,Fulton,Interstate,Local,56267,15.13,35,2,6,Composite,33,121.31,19.12,4.69,62.03,2.5,46.81,Patch,2002,Tropical,1122.11,65,41.35,308494.3,23
270,TX,Orange,Rural,Minor Arterial,83379,12.74,35,4,2,Composite,38,109.8,18.47,7.2,54.42,1.56,98.64,Patch,1992,Continental,402.93,7,56.74,964287.23,33
271,IL,Orange,Interstate,Principal Arterial,24952,23.13,65,4,2,Asphalt,9,246.74,9.15,5.29,73.98,3.84,42.53,Patch,2017,Tropical,1330.01,105,54.34,594975,8
272,GA,Cuyahoga,Interstate,Collector,54798,5.32,65,1,11,Asphalt,19,64.1,16.92,3.95,70.59,4.42,60.41,Resurface,2004,Tropical,1519.12,70,58.48,212544.81,21
273,GA,Cook,Interstate,Local,51939,20.64,65,5,8,Composite,0,142.35,9.05,3.22,53.42,3.74,5.45,Reconstruction,1992,Temperate,907.91,9,14.68,1198269.36,33
274,GA,Cook,State Highway,Collector,30516,7.49,55,2,7,Asphalt,12,176.45,8.49,6.1,67.89,1.07,84.22,None,1993,Temperate,1498.73,56,69.85,261368.11,32
275,WA,Duval,Rural,Local,57526,20.95,35,1,3,Concrete,0,190.09,3.14,9.39,87.36,1.86,64.82,Resurface,1994,Continental,784.68,3,14.5,249378.64,31
276,FL,Bexar,Interstate,Minor Arterial,11449,17.32,45,5,3,Composite,4,232.15,8.53,6.72,43.23,1.28,40.4,None,2015,Temperate,1620.36,42,1.46,673657.15,10
277,WA,King,Rural,Principal Arterial,51290,21.87,70,2,8,Concrete,15,138.71,10.75,0.75,41.28,3.28,1.62,Reconstruction,2014,Tropical,813.93,104,62.48,228053.53,11
278,IL,Duval,State Highway,Local,87661,6.95,65,4,2,Concrete,14,203.17,0.45,4.61,76.42,4.03,59.17,Reconstruction,1999,Arid,660.99,99,11.69,422446.17,26
279,WA,Fulton,Interstate,Local,73954,16.18,65,2,3,Composite,48,196.34,8.88,8.91,58.26,1.44,1.27,Reconstruction,1997,Continental,1782.53,98,77.04,199952.07,28
280,CA,Harris,Urban,Local,23746,15.02,70,3,9,Concrete,27,186.9,15.63,0.94,7.1,4.35,0.12,Patch,2001,Arid,1187.25,62,86.6,702843.05,24
281,FL,Orange,State Highway,Local,68990,19.12,70,2,7,Concrete,30,210.12,13.6,9.89,89.21,3.22,61.61,Resurface,1992,Tropical,713.28,42,94.47,543754.63,33
282,FL,Duval,Urban,Principal Arterial,59810,15.69,35,3,3,Concrete,22,114.86,12.7,9.49,3.08,3.76,18.9,Reconstruction,2016,Continental,1883.16,66,66.45,322986.36,9
283,IL,King,Rural,Principal Arterial,84297,15.81,65,2,8,Composite,47,71.16,18.19,0.78,74.84,4.89,19.19,None,2012,Arid,1443.53,81,48.2,142620.15,13
284,OH,King,Rural,Minor Arterial,16223,13.59,70,3,5,Composite,44,79.82,0.36,9.33,75.88,1.33,65.33,Patch,2022,Continental,597.26,50,35.23,385325.23,3
285,CA,Duval,State Highway,Principal Arterial,73237,11.18,55,4,3,Concrete,42,106.15,11.14,3.63,95.31,4.6,5.37,Patch,2003,Tropical,1306.36,109,49.09,857847.24,22
286,TX,Cuyahoga,Rural,Local,3597,14.65,55,5,7,Composite,16,175.05,15.75,8.45,5.41,1.5,31.34,Resurface,2012,Continental,1766.65,55,19.04,710650.12,13
287,WA,Orange,Urban,Minor Arterial,66677,7.37,65,3,10,Composite,48,260.11,10.83,4.18,59.69,2.57,14.94,Resurface,2020,Tropical,1453.08,42,34.84,561882.4,5
288,NY,Cuyahoga,Interstate,Minor Arterial,3659,24.23,70,3,10,Concrete,33,225.32,6.48,4.41,42.78,4.41,58.02,Resurface,2002,Continental,640.57,23,71.79,708228.72,23
289,WA,Harris,Interstate,Minor Arterial,87516,19.29,35,4,9,Composite,12,247.26,2.73,6.34,33.06,4.63,66.18,Patch,2001,Continental,1367.93,95,21.74,608478.53,24
290,GA,King,Interstate,Local,75567,24.05,35,3,4,Asphalt,13,137.74,17.75,7.74,9.03,3.03,72.11,Reconstruction,2024,Temperate,1314.49,33,26.41,899771.12,1
291,WA,King,State Highway,Collector,16037,9.53,35,1,4,Composite,10,151.16,9.42,0.34,56.27,3.38,25.52,None,2007,Tropical,1677.52,58,74.93,124487.32,18
292,TX,Fulton,Rural,Local,47738,22.59,25,4,3,Asphalt,27,148.42,17.56,5.93,47.9,3.83,8.92,Reconstruction,2010,Cold,520.64,1,17.78,1178248.35,15
293,WA,Harris,Urban,Principal Arterial,72678,21.18,65,1,6,Concrete,41,97.97,11.72,1.87,10.46,4.33,7.87,None,1990,Continental,1459.34,1,24.59,100757.42,35
